Year,Colony ID,Surface_Area,Size_Class,Diameter,exsitu.Ocean,Site,Fertility,M/F,Max_Cross,Mesentery_Average,Cross_Mes
2020,214,228.015,4,18.219,ex situ,ex situ,Y,F,0.875,0.125,0.109375
2020,215,144.602,3,16.93,ex situ,ex situ,Y,F,23.375,1.125,26.296875
2020,216,80.74,2,10.968,ex situ,ex situ,Y,M,0.125,0.25,0.03125
2020,217,227.296,4,17.928,ex situ,ex situ,Y,M,47.25,4.125,194.90625
2020,218,149.951,3,14.14,ex situ,ex situ,Y,F,4,0.875,3.5
2020,219,173.579,4,16.014,ex situ,ex situ,Y,F,4,0.125,0.5
2020,220,167.208,4,17.675,ex situ,ex situ,N,0,0,0,0
2020,221,51.836,2,9.444,ex situ,ex situ,Y,F,18.125,1,18.125
2020,222,146.226,3,15.175,ex situ,ex situ,N,0,0,0,0
2020,223,138.83,3,16.066,ex situ,ex situ,N,0,0,0,0
2020,105,35.594,1,7.801,Ocean,Port,Y,M,140.125,12.125,1699.015625
2020,106,21.944,1,6.448,Ocean,Port,Y,M,51.625,1.875,96.796875
2020,151,29.75,1,7.893,Ocean,Port,Y,F,27.25,1.75,47.6875
2020,153,20.328,1,5.137,Ocean,Port,Y,M,128.625,3.125,401.953125
2020,165,24.847,1,5.866,Ocean,Port,Y,F,28,1.75,49
2020,166,18.239,1,4.008,Ocean,Port,Y,M,51.5,3.125,160.9375
2020,167,30.529,1,7.827,Ocean,Port,Y,F,34.5,2.375,81.9375
2020,168,47.649,1,8.804,Ocean,Port,Y,F,24.875,0.75,18.65625
2020,170,121.669,3,14.143,Ocean,Port,Y,M,412.125,7.75,3193.96875
2020,172,50.039,2,10.167,Ocean,Port,Y,M,233.625,18,4205.25
2020,177,27.592,1,6.855,Ocean,Port,N,0,0,0,0
2020,180,54.114,2,9.289,Ocean,Port,Y,F,18.875,1.125,21.234375
2020,182,71.559,2,10.914,Ocean,Port,Y,M,100,3.75,375
2020,164,29.006,1,7.635,Ocean,Reef 2,Y,F,37.5,0.875,32.8125
2020,175,50.894,2,8.404,Ocean,Reef 2,N ,0,0,0,0
2020,186,188.64,4,17.062,Ocean,Reef 2,Y,M ,229.125,21,4811.625
2020,187,30.349,1,6.275,Ocean,Reef 2,Y,F,8.125,0.125,1.015625
2020,188,58.101,2,10.251,Ocean,Reef 2,Y,F,34.375,1.125,38.671875
2020,189,43.85,1,8.147,Ocean,Reef 2,N,0,0,0,0
2020,190,32.231,1,6.994,Ocean,Reef 2,N,0,0,0,0
2020,194,33.297,1,7.936,Ocean,Reef 2,Y,F,25.625,2.125,54.453125
2020,195,41.317,1,8.79,Ocean,Reef 2,N,0,0,0,0
2020,108,17.747,1,4.73,Ocean,Reef 1,N,0,0,0,0
2020,127,62.466,2,11.423,Ocean,Reef 1,Y,M,219.875,19.5,4287.5625
2020,129,103.746,3,14.08,Ocean,Reef 1,Y,F,11.125,1.625,18.078125
2020,200,13.645,1,5.284,Ocean,Reef 1,Y,F,9.875,0.25,2.46875
2020,201,27.839,1,6.964,Ocean,Reef 1,N,0,0,1,0
2020,225,61.861,2,12.038,Ocean,Reef 1,Y,M,0.625,0.25,0.15625
2019,50,171.737,4,18.78,Ocean,Port,Y,F,8.666666667,1.875,16.25
2019,51,45.595,1,8.84,Ocean,Port,Y,M,122,6.9,841.8
2019,53,151.024,4,14,Ocean,Port,Y,F,20.625,3.125,64.453125
2019,71,140.389,3,15.67,Ocean,Port,Y,F,2.625,0.75,1.96875
2019,72,81.463,2,11.4,Ocean,Port,Y,M,41.875,2.625,109.921875
2019,73,26.633,1,7.07,Ocean,Port,Y,F,14,2.25,31.5
2019,74,88.016,2,12.13,Ocean,Port,Y,F,1.9,0.5,0.95
2019,75,61.091,2,10.33,Ocean,Port,Y,F,52.375,3.875,202.953125
2019,76,33.399,1,7.098,Ocean,Port,Y,F,17.375,1.625,28.234375
2019,79,125.153,3,13.77,Ocean,Port,Y,M,1.625,2.125,3.453125
2019,80,57.841,2,9.151,Ocean,Port,Y,F,15.875,1.625,25.796875
2019,91,110.19,3,13.71,Ocean,Port,Y,F,2.75,0.375,1.03125
2019,92,81.964,2,11.7,Ocean,Port,Y,F,22,1.375,30.25
2019,93,58.544,2,9.44,Ocean,Port,Y,F,21,2.75,57.75
2019,83,97.646,2,11.861,Ocean,Reef 2,Y,F,12.25,1,12.25
2019,84,40.601,1,9.313,Ocean,Reef 2,Y,M,149.75,21.25,3182.1875
2019,85,26.151,1,6.509,Ocean,Reef 2,N,0,0,0,0
2019,86,120.458,3,13.829,Ocean,Reef 2,Y,M,220.625,20.375,4495.234375
2019,87,96.718,2,11.509,Ocean,Reef 2,Y,F,17.6,1.25,22
2019,88,69.067,2,10.368,Ocean,Reef 2,Y,M,124.375,7.375,917.265625
2019,54,90.228,2,11.61,Ocean,Reef 1,Y,M,153.5,6.375,978.5625
2019,55,61.995,2,9.321,Ocean,Reef 1,Y,M,264.125,19.5,5150.4375
2019,56,35.772,1,9.013,Ocean,Reef 1,N,0,0,0,0
2019,57,30.558,1,6.897,Ocean,Reef 1,N,0,0,0,0
2019,58,47.513,1,8.563,Ocean,Reef 1,Y,M,10.125,2,20.25
2019,59,99.041,2,12.045,Ocean,Reef 1,Y,F,18.75,3,56.25
