Date,Set Temperature (°F),Temperature_C,Temperature_F,Salinity
11/6/2019,80,28.2,82.76,34.6
11/11/2019,79,27.8,82.04,34.4
11/12/2019,79,27.3,81.14,34.6
11/13/2019,79,25.9,78.62,34.5
11/17/2019,79,24.6,76.28,36
11/18/2019,79,25.8,78.44,36
11/19/2019,79,26.5,79.7,36.5
11/21/2019,78,25.7,78.26,33
11/25/2019,78,25.7,78.26,36
11/27/2019,78,25.1,77.18,33
11/29/2019,78,25.9,78.62,33.5
12/1/2019,77,25.6,78.08,36
12/2/2019,77,25.4,77.72,34
12/3/2019,77,24.3,75.74,36
12/4/2019,77,24.9,76.82,36
12/8/2019,77,25.2,77.36,35
12/9/2019,77,25.4,77.72,33
12/10/2019,76,25.6,78.08,33
12/11/2019,76,24.6,76.28,33
12/12/2019,76,25.3,77.54,33
12/13/2019,76,25.4,77.72,33
12/15/2019,76,24.6,76.28,35
12/16/2019,76,24.9,76.82,32
12/17/2019,76,24.9,76.82,33
12/18/2019,76,25.4,77.72,34.2
12/19/2019,76,24.2,75.56,34.3
12/20/2019,75,24.6,76.28,34.2
12/23/2019,75,24.2,75.56,33.3
12/25/2019,75,23.8,74.84,33.9
12/26/2019,75,24.3,75.74,34
12/27/2019,75,24,75.2,34.1
12/29/2019,75,23.8,74.84,34.2
12/30/2019,75,23.9,75.02,34.3
12/31/2019,75,24.4,75.92,34.4
1/1/2020,76,23.9,75.02,34.5
1/2/2020,76,24.5,76.1,34.7
1/3/2020,76,24.1,75.38,34.3
1/5/2020,76,23.6,74.48,34.7
1/6/2020,76,23.4,74.12,34.7
1/7/2020,76,24.2,75.56,34.6
1/8/2020,76,24.8,76.64,34.4
1/9/2020,76,23.6,74.48,34.1
1/10/2020,75,23.8,74.84,34.5
1/11/2020,75,24.9,76.82,34.7
1/12/2020,75,24.7,76.46,34.3
1/13/2020,75,24.7,76.46,34.5
1/14/2020,75,24.2,75.56,34.2
1/15/2020,75,23.9,75.02,34.1
1/16/2020,75,24.4,75.92,34.2
