Sample_Name,Site,Lab_vs_Ocean,Tissue_type,Close_Lab_ID,ID,Glu_d15N,Phe_d15N,TP_Glu_Phe,TP_prop_uncertainty,Cross_Mes,M_F,Fertility
Coral 221,ex situ,ex situ,coralt,21-022,221,8.6,1.607485785,1.472733911,0.151224508,18.125,F,Y
Coral 217,ex situ,ex situ,coralt,21-024,217,6.3,-1.483590675,1.577603806,0.233705354,194.90625,M,Y
Coral 215,ex situ,ex situ,coralt,21-025,215,11.2,-0.094167817,2.035556973,0.214852419,26.296875,F,Y
Coral 218,ex situ,ex situ,coralt,21-048,218,8.9,-0.281544644,1.760276221,0.200374072,3.5,F,Y
Coral 216,ex situ,ex situ,coralt,21-056,216,5.7,-1.617871754,1.519264662,0.156168484,0.03125,M,Y
Coral 222,ex situ,ex situ,coralt,21-080,222,8.6,0.014150014,1.678894689,0.187908856,,,N
Coral 220,ex situ,ex situ,coralt,21-094,220,10,0.122792774,1.848533938,0.182955708,,,N
Coral 223,ex situ,ex situ,coralt,21-096,223,11.4,0.421294332,1.997117706,0.213699563,,,N
NSU POM,ex situ,ex situ,POM,21-028,5,16.3,4.960059635,2.039676814,0.207770581,,,
Symbiont 215-Z,ex situ,ex situ,symbiont,21-050,215,-0.1,-3.805657121,1.046249893,0.162516661,,,
Symbiont 217-Z,ex situ,ex situ,symbiont,21-051,217,-1.2,-5.896212311,1.168830456,0.152752062,,,
NSU Zoop,ex situ,ex situ,Zooplankton,21-053,6,13.1,3.426890754,1.823367276,0.19868359,,,
Coral 194,Reef 2,in situ,coralt,20-077,194,9,2.795249858,1.372786678,0.194077944,54.453125,F,Y
Coral 190,Reef 2,in situ,coralt,21-001,190,8.1,4.024485176,1.083244554,0.26601663,,,N
Coral 164,Reef 2,in situ,coralt,21-012,164,11.7,2.460940467,1.770186385,0.210370281,32.8125,F,Y
Coral 187,Reef 2,in situ,coralt,21-057,187,10.5,4.394356986,1.361412431,0.157543703,1.015625,F,Y
Coral 175,Reef 2,in situ,coralt,21-097,175,9.1,3.102262665,1.34543742,0.144184031,,,N
Coral 186,Reef 2,in situ,coralt,21-100,186,9.8,4.850751997,1.20924764,0.182188208,229.125,M,Y
N. Reef POM #2,Reef 2,in situ,POM,21-007,3,8.3,5.745929704,0.892442771,0.175720541,,,
Symbiont 194-Z ,Reef 2,in situ,symbiont,20-078,194,5.9,1.8704016,1.079073708,0.16414141,,,
Symbiont 190-Z ,Reef 2,in situ,symbiont,21-002,190,3.8,1.648233766,0.837340793,0.176924605,,,
Symbiont 164-Z ,Reef 2,in situ,symbiont,21-013,164,1.7,1.029427644,0.641800172,0.177630237,,,
N. Reef Plankton Tow ,Reef 2,in situ,Zooplankton,21-005,4,13.5,3.263054052,1.900077058,0.220051951,,,
Coral 151,Port,in situ,coralt,20-073,151,12.8,6.06378298,1.43996737,0.231247478,47.6875,F,Y
Coral 170,Port,in situ,coralt,20-075,170,8.4,4.404121028,1.076119249,0.134658092,3193.96875,M,Y
Coral 180,Port,in situ,coralt,21-023,180,11.9,4.518278508,1.520892246,0.162313212,21.234375,F,Y
Coral 182,Port,in situ,coralt,21-026,182,9,5.055250181,1.068964596,0.124607958,375,M,Y
Coral 106,Port,in situ,coralt,21-027,106,12.5,6.416564308,1.350504397,0.168974851,4287.5625,M,Y
Coral 172,Port,in situ,coralt,21-046,172,13.9,6.391787178,1.537655312,0.162559046,4205.25,M,Y
Port POM #1,Port,in situ,POM,21-004,1,9.8,5.845684578,1.077218304,0.12589819,,,
Symbiont 151-Z ,Port,in situ,symbiont,20-074,151,8.4,4.465018351,1.067791431,0.138440251,,,
Symbiont 106-Z,Port,in situ,symbiont,21-044,106,5.9,4.245178446,0.764138601,0.183484202,,,
Symbiont 180-Z,Port,in situ,symbiont,21-045,180,5.1,1.614270137,1.010850094,0.125014945,,,
Symbiont 182-Z,Port,in situ,symbiont,21-049,182,6.1,3.284558202,0.921118134,0.136089916,,,
Port Zoop. Tow,Port,in situ,Zooplankton,21-006,2,15,5.753397178,1.775614762,0.2054925,,,
Coral 127,Reef 1,in situ,coralt,21-016,127,10.4,3.000540702,1.523704192,0.151815441,4287.5625,M,Y
Coral 225,Reef 1,in situ,coralt,21-054,225,13,5.19926087,1.575138378,0.166445961,0.15625,M,Y
Coral 200,Reef 1,in situ,coralt,21-055,200,9.5,4.549980485,1.20811102,0.162206446,2.46875,F,Y
Coral 108,Reef 1,in situ,coralt,21-078,108,10.4,2.31105608,1.614059926,0.16108146,,,N
Coral 201,Reef 1,in situ,coralt,21-095,201,9.4,3.981838147,1.267483616,0.155289627,,,N
South Reef POM,Reef 1,in situ,POM,21-099,7,9.9,4.517492344,1.262747539,0.178567845,,,
Symbiont 129-Z ,Reef 1,in situ,symbiont,21-015,129,8.7,3.666046982,1.21277273,0.223110282,,,
Symbiont 127-Z ,Reef 1,in situ,symbiont,21-017,127,5.5,2.362089623,0.962781765,0.316996972,,,
South Reef Zooplankton,Reef 1,in situ,Zooplankton,21-098,8,13.6,3.473772939,1.889311802,0.203794551,,,
