Sample_Name,Close Lab ID,ID,Site,Tissue_type,Ala,Gly,Thr,Ser,Val,Leu,Ile,Pro,Asp,Glu,Phe,Lys,Cross_Mes,M_F,Fertility
Coral 221,21-022,221,ex situ,coral,10.15961267,4.043251063,-8.668596445,6.409508007,10.35773001,10.27855742,10.77552341,8.588426984,8.998042936,8.600263512,1.607485785,-1.770916565,18.125,F,Y
Coral 217,21-024,217,ex situ,coral,7.326497621,2.25499122,-9.549902636,4.212747319,8.178067627,7.233572042,8.145357823,5.82259005,6.849975252,6.306198253,-1.483590675,-3.898540623,194.90625,M,Y
Coral 215,21-025,215,ex situ,coral,10.95077415,5.762696971,-10.82126551,6.817835503,10.92217118,10.48702464,11.08844978,8.631645247,9.739915035,11.17606518,-0.094167817,-1.705468525,26.296875,F,Y
Coral 218,21-048,218,ex situ,coral,8.177561062,3.435360999,-7.575020681,5.314740978,8.441858809,8.026031304,8.358323478,4.355320651,7.731354858,8.896554633,-0.281544644,-1.705996182,3.5,F,Y
Coral 216,21-056,216,ex situ,coral,6.95012274,2.226749504,-11.67137122,3.979198288,7.55706783,6.893346646,7.175104926,5.899204556,7.63368054,5.72853968,-1.617871754,-2.995002945,0.03125,M,Y
Coral 222,21-080,222,ex situ,coral,10.47110685,4.962341065,-8.302107613,6.621684908,10.38691407,9.89703285,10.79757591,6.095213579,9.494186368,8.573749652,0.014150014,-1.62565542,,na,N
Coral 220,21-094,220,ex situ,coral,11.54040531,4.409075036,-10.36330359,5.946222031,9.123694879,10.85266736,11.51715373,8.596901416,9.585456598,9.971650702,0.122792774,-1.448141664,,na,N
Coral 223,21-096,223,ex situ,coral,13.61703457,6.470812175,-10.91535882,7.916451978,12.9266489,13.31229541,14.21653313,7.609930718,11.09500616,11.3993889,0.421294332,-1.806687523,,na,N
NSU POM,21-028,5,ex situ,POM,17.03021035,-0.132566483,-11.25456354,-0.683641387,14.73786191,14.70263624,13.01180432,13.18988334,12.3605124,16.26160342,4.960059635,2.109460977,,na,
Symbiont 215-Z,21-050,215,ex situ,symbiont,-0.402849616,-1.34420576,-5.471553392,-0.78719029,1.195784783,-2.72003397,-1.066812056,0.67608935,-0.14160936,-0.054157931,-3.805657121,-4.470176576,,na,
Symbiont 217-Z,21-051,217,ex situ,symbiont,-1.431172887,-2.435105608,-7.359183824,-1.026509014,0.61275171,-3.121374326,-1.456357061,-0.667634547,-0.659621401,-1.213100843,-5.896212311,-5.871600506,,na,
NSU Zoop,21-053,6,ex situ,Zooplankton,10.36399924,-1.094570582,-4.506999117,0.281790196,11.47865727,8.642531545,9.684616872,13.03303252,10.21135457,13.08448206,3.426890754,2.608803871,,na,
Coral 151,20-073,151,Port,coral,10.99571362,8.92053038,-1.697151631,9.635723631,10.63155101,10.604576,9.742499705,12.85923709,11.98592121,12.807535,6.06378298,6.496507068,47.6875,F,Y
Coral 170,20-075,170,Port,coral,9.275359986,7.693883897,-2.47585749,6.922056942,10.18411886,9.635949681,8.632126249,7.93607887,10.28064035,8.382627319,4.404121028,3.902209312,3193.96875,M,Y
Coral 180,21-023,180,Port,coral,11.18219972,6.336838851,-3.566156714,8.306526093,11.89908372,10.87723338,11.42400275,11.16669952,11.53172911,11.87705958,4.518278508,2.90083319,21.234375,F,Y
Coral 182,21-026,182,Port,coral,11.31758468,7.353142612,-2.356763156,7.467052708,9.683210912,9.380019418,10.73866055,10.23982473,10.69804433,8.97938111,5.055250181,3.88653278,375,M,Y
Coral 106,21-027,106,Port,coral,11.87772524,8.606257623,0.86957434,9.625162932,11.15403337,12.26670493,13.20822569,11.214183,12.68520114,12.48039773,6.416564308,4.174374148,4287.5625,M,Y
Coral 172,21-046,172,Port,coral,12.10463451,8.313201833,0.836295056,10.10463515,13.3195317,12.38731599,12.66701795,12.67316278,13.19252988,13.87796755,6.391787178,6.451005036,4205.25,M,Y
Port POM #1,21-004,1,Port,POM,9.314777416,4.652407787,4.726084683,3.204151149,10.37645254,6.173618999,6.080800556,7.513888421,9.14922659,9.832543687,5.845684578,5.804512195,,na,
Symbiont 151-Z ,20-074,151,Port,symbiont,7.673680889,8.432991444,-0.846900843,7.537767843,8.695671818,6.258797649,6.693081059,8.276382848,8.716775104,8.380233229,4.465018351,5.582381802,,na,
Symbiont 106-Z,21-044,106,Port,symbiont,4.628290864,3.631119387,0.412435482,5.184613262,7.662433295,3.989410437,5.371313117,4.098408618,7.484906555,5.852631817,4.245178446,0.164221803,,na,
Symbiont 180-Z,21-045,180,Port,symbiont,3.226829922,3.363855728,-1.135578238,3.198422133,6.544414061,2.428626754,4.701249871,4.00665158,6.145590984,5.096730855,1.614270137,1.033860018,,na,
Symbiont 182-Z,21-049,182,Port,symbiont,4.720420376,4.259606285,0.084760119,5.549777822,7.441058139,4.055099797,5.625321116,5.322608346,7.48692371,6.085056017,3.284558202,0.979408554,,na,
Port Zoop. Tow,21-006,2,Port,Zooplankton,15.81552938,5.876624216,1.991060017,7.171506078,14.85374806,11.32030248,12.81410208,14.09465769,13.42290274,15.04806937,5.753397178,6.591817221,,na,
Coral 127,21-016,127,Reef 1,coral,8.183322443,6.473508122,-2.841518485,7.061518995,10.10422851,9.132212324,8.599595844,8.664094,9.154627046,10.38069256,3.000540702,1.583076402,4287.5625,M,Y
Coral 225,21-054,225,Reef 1,coral,11.55661542,6.403574186,-2.406495912,9.999540938,11.29121412,11.42411553,10.70500248,11.39520646,13.45161477,12.97031254,5.19926087,3.642356751,0.15625,M,Y
